Objects
100
,,Global Angle Mannequin:Mannequin,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm
155,0,0.014184,-0.011678,0.722890,126.328903,167.076874,174.493988
156,0,0.014244,-0.011631,0.722917,126.355949,167.078506,174.481735
157,0,0.014770,-0.011684,0.722866,126.353874,167.059250,174.478485
158,0,0.014582,-0.011656,0.722965,126.335411,167.026855,174.512543
159,0,0.013943,-0.011607,0.722651,126.342354,167.048813,174.473801
160,0,0.015197,-0.011726,0.722867,126.345459,167.079285,174.491074
161,0,0.019798,-0.012297,0.723709,126.362892,166.984665,174.421585
162,0,0.014397,-0.011623,0.722719,126.350639,167.063339,174.491943
163,0,0.015221,-0.011836,0.722721,126.357895,167.066025,174.496277
164,0,0.015030,-0.011714,0.723058,126.355934,167.079819,174.504440
165,0,0.014894,-0.011708,0.722978,126.338318,167.073898,174.486206
166,0,0.015050,-0.011700,0.723058,126.368301,167.072113,174.500626
167,0,0.015011,-0.011680,0.722957,126.336990,167.060898,174.475555
168,0,0.015130,-0.011832,0.723008,126.335739,167.064789,174.478546
169,0,0.014860,-0.011668,0.722852,126.348244,167.076126,174.488647
170,0,0.014119,-0.011472,0.722650,126.352669,167.067841,174.492355
171,0,0.014774,-0.011683,0.722999,126.324501,167.017578,174.487854
172,0,0.014968,-0.011734,0.722820,126.335114,167.060379,174.482971
173,0,0.015477,-0.011838,0.723170,126.352341,167.079880,174.489105
174,0,0.014753,-0.011640,0.723069,126.342239,167.074509,174.494919
175,0,0.015350,-0.011779,0.723099,126.351837,167.060059,174.477432
176,0,0.014590,-0.011644,0.722684,126.349342,167.065460,174.489212
177,0,0.015584,-0.011833,0.723188,126.334160,167.043808,174.491333
178,0,0.014475,-0.011615,0.722797,126.353729,167.076187,174.496994
179,0,0.015381,-0.011801,0.722937,126.349899,167.040680,174.485580
180,0,0.015040,-0.011639,0.723008,126.349449,167.077637,174.494614
