Objects
100
,,Global Angle Mannequin:Mannequin,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm
125,0,0.162954,-0.045324,3.196634,1311.481934,930.549316,788.992554
126,0,0.160065,-0.045238,3.199398,1311.616821,930.677185,789.091553
127,0,0.159898,-0.045014,3.199280,1311.597168,930.677307,789.107788
128,0,0.161495,-0.043265,3.198011,1311.485962,930.571777,789.061646
129,0,0.162500,-0.046165,3.196455,1311.492798,930.577148,789.024353
130,0,0.162692,-0.045833,3.196650,1311.466919,930.568726,789.013672
131,0,0.160261,-0.044674,3.199524,1311.614868,930.661072,789.069519
132,0,0.160348,-0.045258,3.198776,1311.627319,930.718506,789.151917
133,0,0.160000,-0.044722,3.199073,1311.592896,930.691223,789.120728
134,0,0.162652,-0.045078,3.196883,1311.474976,930.577271,789.020996
135,0,0.159879,-0.045188,3.199430,1311.607544,930.662903,789.079163
136,0,0.159677,-0.042754,3.199828,1311.625977,930.709167,789.170959
137,0,0.159996,-0.045332,3.199452,1311.609497,930.660095,789.087769
138,0,0.160087,-0.045252,3.199340,1311.620361,930.671692,789.096741
139,0,0.160537,-0.044242,3.199310,1311.600342,930.681702,789.105774
140,0,0.160437,-0.045046,3.199454,1311.614868,930.688965,789.104431
141,0,0.159786,-0.045200,3.199686,1311.603271,930.657532,789.068848
142,0,0.160588,-0.044687,3.199342,1311.628174,930.691956,789.101440
143,0,0.159921,-0.044439,3.199314,1311.559692,930.673462,789.120361
144,0,0.160171,-0.045374,3.199181,1311.639404,930.692871,789.108704
145,0,0.160291,-0.044600,3.199238,1311.597656,930.694397,789.110596
146,0,0.160191,-0.045268,3.199310,1311.604248,930.681824,789.098938
147,0,0.160056,-0.045027,3.199269,1311.603882,930.681946,789.112793
148,0,0.160048,-0.045186,3.199162,1311.605103,930.686035,789.101257
149,0,0.159991,-0.044713,3.199311,1311.580322,930.654114,789.097412
150,0,0.160619,-0.044127,3.199292,1311.612427,930.698669,789.116089
151,0,0.160277,-0.045246,3.199294,1311.633057,930.677063,789.090576
152,0,0.160090,-0.043849,3.199130,1311.547485,930.683899,789.143921
153,0,0.162781,-0.045217,3.196769,1311.478516,930.551270,788.991943
154,0,0.162827,-0.045386,3.196735,1311.482544,930.566589,789.017090
155,0,0.160655,-0.045369,3.199131,1311.650024,930.694153,789.099792
156,0,0.159892,-0.045547,3.199317,1311.616333,930.673828,789.086121
157,0,0.160120,-0.044983,3.199223,1311.602295,930.678528,789.111816
158,0,0.159999,-0.045247,3.199338,1311.621094,930.665710,789.088867
159,0,0.159326,-0.043400,3.199989,1311.636719,930.704468,789.169800
160,0,0.160304,-0.044335,3.199348,1311.606079,930.664856,789.100281
161,0,0.160247,-0.044934,3.199223,1311.605225,930.690125,789.111633
162,0,0.160050,-0.045271,3.199474,1311.602905,930.654907,789.082214
163,0,0.159920,-0.045342,3.199386,1311.619629,930.672058,789.081848
164,0,0.160008,-0.044961,3.199465,1311.575073,930.677185,789.117371
165,0,0.160082,-0.044078,3.199187,1311.572876,930.689148,789.121948
166,0,0.159855,-0.045213,3.199582,1311.588989,930.652161,789.077332
167,0,0.159843,-0.045743,3.199062,1311.614746,930.689941,789.107056
168,0,0.159211,-0.043722,3.199875,1311.638672,930.699158,789.160095
169,0,0.160196,-0.044489,3.199361,1311.577393,930.682617,789.115845
170,0,0.160056,-0.045242,3.199192,1311.592407,930.675781,789.111511
171,0,0.159621,-0.043379,3.199904,1311.652344,930.710327,789.169800
172,0,0.160069,-0.044274,3.199367,1311.566895,930.676025,789.112061
173,0,0.160055,-0.045057,3.199605,1311.606934,930.652588,789.067139
174,0,0.160296,-0.044048,3.199396,1311.590820,930.687683,789.116211
175,0,0.161392,-0.043568,3.197855,1311.483521,930.567688,789.056824
176,0,0.160194,-0.045076,3.199371,1311.624756,930.681152,789.102478
177,0,0.160555,-0.044055,3.199515,1311.609497,930.686157,789.101990
178,0,0.160177,-0.044369,3.199501,1311.599487,930.670166,789.089233
179,0,0.160064,-0.044931,3.199324,1311.583496,930.686218,789.111450
180,0,0.160138,-0.044635,3.199088,1311.566650,930.688965,789.131348
181,0,0.160176,-0.044512,3.199455,1311.598633,930.679871,789.104614
182,0,0.159742,-0.045686,3.199308,1311.611572,930.672913,789.091003
183,0,0.162566,-0.045852,3.196526,1311.492432,930.573914,789.008972
184,0,0.159713,-0.045576,3.199570,1311.604980,930.673523,789.088806
185,0,0.160595,-0.044116,3.198970,1311.613892,930.704590,789.120361
186,0,0.162870,-0.045727,3.196504,1311.462646,930.556030,789.013672
187,0,0.160216,-0.043925,3.199273,1311.579712,930.689819,789.126099
188,0,0.163161,-0.045141,3.196658,1311.486328,930.562073,788.991638
189,0,0.160157,-0.045311,3.199294,1311.619141,930.676636,789.086670
190,0,0.162798,-0.045775,3.196537,1311.488281,930.574219,789.014343
191,0,0.159838,-0.045230,3.199271,1311.593262,930.672180,789.102112
192,0,0.160587,-0.044974,3.199394,1311.629028,930.695862,789.105042
193,0,0.159823,-0.042128,3.199676,1311.609497,930.718506,789.204102
194,0,0.160423,-0.044568,3.199389,1311.590698,930.693665,789.118103
195,0,0.162384,-0.046005,3.196829,1311.450195,930.540894,789.006409
196,0,0.160070,-0.044787,3.199362,1311.577637,930.668945,789.110657
197,0,0.162772,-0.045317,3.196680,1311.485352,930.562866,789.002075
198,0,0.159681,-0.043375,3.199856,1311.641235,930.710022,789.171631
199,0,0.162902,-0.045335,3.196653,1311.470581,930.572144,789.012817
200,0,0.160045,-0.045044,3.198918,1311.597046,930.694275,789.125549
201,0,0.162587,-0.046085,3.196661,1311.470581,930.562805,789.008667
202,0,0.160671,-0.044327,3.199075,1311.634766,930.713745,789.119019
203,0,0.160314,-0.045092,3.199423,1311.617065,930.678589,789.093872
204,0,0.160194,-0.044851,3.199232,1311.620483,930.701172,789.110901
205,0,0.160437,-0.044302,3.199043,1311.599121,930.704529,789.137878
206,0,0.162913,-0.045426,3.196639,1311.490234,930.556946,789.000305
207,0,0.160662,-0.043353,3.199434,1311.573364,930.662781,789.105042
208,0,0.160401,-0.044891,3.199346,1311.621704,930.672485,789.091309
209,0,0.160029,-0.044300,3.199516,1311.582886,930.670288,789.091125
210,0,0.162900,-0.045236,3.196653,1311.489502,930.567444,789.017212
211,0,0.160205,-0.044480,3.199211,1311.598267,930.683228,789.104187
212,0,0.159945,-0.045080,3.199238,1311.617188,930.677063,789.093384
213,0,0.162794,-0.045356,3.196691,1311.478516,930.553284,788.989868
214,0,0.163001,-0.044864,3.196883,1311.471680,930.557129,788.993835
215,0,0.160413,-0.044739,3.199278,1311.646606,930.691040,789.094604
216,0,0.159973,-0.045164,3.199398,1311.594849,930.666077,789.087524
217,0,0.162589,-0.046198,3.196263,1311.493774,930.566467,789.005615
218,0,0.159727,-0.042247,3.199925,1311.610474,930.701294,789.187622
219,0,0.162899,-0.045244,3.196751,1311.475952,930.577637,789.017944
220,0,0.160341,-0.044798,3.199434,1311.617554,930.675842,789.107605
221,0,0.159986,-0.045469,3.199241,1311.594360,930.670837,789.111755
222,0,0.160303,-0.044052,3.199517,1311.579224,930.664551,789.094971
223,0,0.160410,-0.044732,3.199487,1311.597412,930.679810,789.103577
224,0,0.160241,-0.044339,3.199523,1311.574463,930.671021,789.091431
225,0,0.159737,-0.042542,3.200087,1311.609619,930.684875,789.154053
226,0,0.159835,-0.045211,3.199473,1311.584351,930.666565,789.086975
227,0,0.159958,-0.044957,3.199217,1311.628906,930.676147,789.086548
228,0,0.160581,-0.043003,3.199197,1311.563965,930.698914,789.141479
229,0,0.162224,-0.045889,3.196751,1311.468018,930.563232,789.004395
230,0,0.160070,-0.045153,3.199359,1311.626587,930.677063,789.093079
231,0,0.160603,-0.044451,3.199382,1311.626709,930.697632,789.099854
232,0,0.160150,-0.045575,3.199272,1311.636353,930.695129,789.112244
233,0,0.163425,-0.044555,3.196810,1311.475098,930.563049,789.006470
234,0,0.159456,-0.042931,3.200060,1311.639526,930.697571,789.136353
235,0,0.162923,-0.045518,3.196651,1311.477417,930.561523,789.009033
236,0,0.160117,-0.045281,3.199444,1311.603638,930.668640,789.083313
237,0,0.162348,-0.046067,3.196673,1311.470947,930.546570,788.995605
238,0,0.162694,-0.046032,3.196446,1311.470947,930.575012,789.024292
239,0,0.159947,-0.045113,3.199168,1311.617554,930.682678,789.089294
240,0,0.159637,-0.046343,3.199143,1311.620239,930.690430,789.107605
241,0,0.160418,-0.044358,3.199654,1311.605957,930.651245,789.066956
242,0,0.160206,-0.044718,3.199421,1311.603394,930.680542,789.081238
243,0,0.162851,-0.045137,3.196808,1311.466675,930.557495,788.999023
244,0,0.162637,-0.046151,3.196302,1311.489014,930.561096,788.994019
245,0,0.162547,-0.045157,3.196963,1311.472778,930.540466,788.995117
246,0,0.159750,-0.046282,3.198997,1311.632813,930.700562,789.103943
247,0,0.159936,-0.045580,3.199266,1311.613892,930.678528,789.093872
248,0,0.160281,-0.044108,3.199363,1311.579834,930.682251,789.120239
249,0,0.159432,-0.042913,3.199862,1311.612061,930.710754,789.184814
250,0,0.160274,-0.045016,3.199275,1311.623413,930.690674,789.096252
251,0,0.159820,-0.045953,3.199167,1311.629639,930.695740,789.105164
252,0,0.160360,-0.044563,3.199286,1311.620483,930.694824,789.122192
253,0,0.162306,-0.045594,3.196974,1311.444580,930.546387,788.995422
254,0,0.162790,-0.045466,3.196560,1311.476563,930.558594,789.003784
255,0,0.160252,-0.044523,3.199284,1311.605347,930.696777,789.124268
256,0,0.160404,-0.043977,3.199352,1311.590088,930.688171,789.111816
257,0,0.160349,-0.044413,3.199207,1311.583374,930.683105,789.124268
258,0,0.160272,-0.044331,3.199421,1311.577271,930.669983,789.107361
259,0,0.160449,-0.043520,3.199300,1311.591309,930.675964,789.111633
260,0,0.160148,-0.044509,3.199439,1311.594971,930.685242,789.110901
261,0,0.159888,-0.045284,3.199156,1311.604858,930.680725,789.095154
262,0,0.161631,-0.043287,3.197881,1311.502563,930.592896,789.083008
263,0,0.159580,-0.042832,3.200083,1311.639771,930.693848,789.147644
264,0,0.162905,-0.045222,3.196704,1311.473022,930.551270,788.993103
265,0,0.159948,-0.045278,3.199316,1311.615112,930.670349,789.092590
266,0,0.160185,-0.044764,3.199178,1311.600464,930.671997,789.108826
267,0,0.162401,-0.045775,3.196768,1311.446045,930.537048,788.999207
268,0,0.162298,-0.045859,3.196773,1311.464966,930.557434,788.998901
269,0,0.162432,-0.045773,3.196767,1311.457764,930.543640,789.001404
270,0,0.159689,-0.045783,3.199370,1311.602661,930.677429,789.092285
271,0,0.162345,-0.045819,3.196749,1311.468140,930.544250,788.989990
272,0,0.160176,-0.044263,3.199079,1311.568359,930.690735,789.146790
273,0,0.160181,-0.045307,3.199182,1311.634399,930.689514,789.086731
274,0,0.162724,-0.045453,3.196782,1311.455078,930.539246,788.987976
275,0,0.161542,-0.043608,3.197722,1311.505371,930.599060,789.094543
276,0,0.160463,-0.044322,3.199675,1311.605835,930.654846,789.069763
277,0,0.160373,-0.044399,3.199306,1311.583252,930.686523,789.127869
278,0,0.160625,-0.043996,3.199242,1311.597778,930.692993,789.124023
279,0,0.162646,-0.045608,3.196557,1311.482056,930.576111,789.012085
280,0,0.159499,-0.042765,3.199723,1311.597900,930.713196,789.196045
281,0,0.160415,-0.044977,3.199270,1311.623291,930.679077,789.089478
282,0,0.160467,-0.044834,3.199345,1311.625244,930.690369,789.098267
283,0,0.162533,-0.045805,3.196765,1311.464600,930.556274,788.999207
284,0,0.163192,-0.044582,3.196917,1311.473633,930.555054,789.009888
285,0,0.162487,-0.045906,3.196550,1311.475220,930.549500,788.990479
286,0,0.160490,-0.043808,3.199294,1311.568726,930.678101,789.116821
287,0,0.160112,-0.044810,3.199244,1311.592285,930.680847,789.119751
288,0,0.160080,-0.045210,3.199497,1311.607422,930.665100,789.080750
289,0,0.160162,-0.045083,3.199491,1311.608398,930.665344,789.085022
290,0,0.160163,-0.045204,3.199462,1311.603149,930.669006,789.081665
291,0,0.160047,-0.044468,3.199213,1311.571655,930.677856,789.126526
292,0,0.162725,-0.045440,3.196638,1311.474487,930.554688,789.002808
293,0,0.161976,-0.042820,3.197732,1311.519653,930.592468,789.085144
294,0,0.160168,-0.045374,3.199185,1311.633057,930.682983,789.097046
295,0,0.160124,-0.044008,3.199463,1311.578735,930.672607,789.106873
296,0,0.162982,-0.045031,3.196793,1311.462036,930.543213,788.992493
297,0,0.159744,-0.046092,3.199332,1311.604370,930.662048,789.087463
298,0,0.159302,-0.043328,3.200120,1311.622925,930.693604,789.151062
299,0,0.159798,-0.045048,3.199345,1311.578247,930.654419,789.090942
300,0,0.160079,-0.045478,3.199150,1311.645630,930.690247,789.098755
301,0,0.159891,-0.045191,3.199146,1311.606689,930.690491,789.118896
302,0,0.160273,-0.045214,3.199404,1311.627686,930.672791,789.094971
303,0,0.159415,-0.042751,3.200058,1311.607422,930.682129,789.161133
304,0,0.159665,-0.042248,3.199611,1311.605347,930.711121,789.201660
305,0,0.162223,-0.045948,3.196783,1311.470337,930.543823,788.999268
306,0,0.159810,-0.042332,3.199944,1311.635742,930.700745,789.160339
307,0,0.163177,-0.045025,3.196668,1311.474365,930.552795,789.001648
308,0,0.160154,-0.044058,3.199478,1311.569946,930.666992,789.107178
309,0,0.160576,-0.044232,3.199411,1311.596924,930.678284,789.107666
310,0,0.160303,-0.044570,3.199496,1311.618774,930.669983,789.076050
311,0,0.160183,-0.044958,3.199226,1311.608398,930.683899,789.122803
312,0,0.160540,-0.044916,3.199379,1311.624146,930.685669,789.101807
313,0,0.162676,-0.045834,3.196532,1311.468994,930.556580,789.005371
314,0,0.160483,-0.044477,3.199323,1311.602539,930.664917,789.100220
315,0,0.159557,-0.042789,3.199920,1311.606323,930.697876,789.170654
316,0,0.160065,-0.042528,3.200020,1311.630371,930.703857,789.185059
317,0,0.160112,-0.045225,3.199303,1311.625610,930.685242,789.110229
318,0,0.160004,-0.044503,3.199043,1311.588501,930.682373,789.120422
319,0,0.160125,-0.045067,3.199469,1311.599976,930.677673,789.090637
320,0,0.159976,-0.044764,3.199452,1311.588501,930.665344,789.089783
321,0,0.162513,-0.045280,3.196945,1311.468506,930.542297,788.974304
322,0,0.160777,-0.043742,3.199477,1311.607056,930.687561,789.118103
323,0,0.159740,-0.042425,3.199978,1311.596924,930.690796,789.189453
324,0,0.159920,-0.044724,3.199183,1311.584106,930.671753,789.109558
325,0,0.160006,-0.045710,3.199251,1311.617432,930.689514,789.097717
326,0,0.162322,-0.045758,3.196867,1311.467163,930.553101,789.003235
327,0,0.163160,-0.045094,3.196659,1311.481567,930.567200,789.013794
328,0,0.159945,-0.045765,3.199436,1311.614014,930.667908,789.072937
329,0,0.160512,-0.044096,3.199237,1311.588379,930.700073,789.137695
330,0,0.159135,-0.043541,3.200113,1311.636353,930.687134,789.141357
331,0,0.159845,-0.045047,3.199384,1311.579590,930.661316,789.087769
332,0,0.159901,-0.045287,3.199543,1311.610596,930.680908,789.096619
333,0,0.162515,-0.045607,3.196795,1311.469971,930.556824,788.998535
334,0,0.160801,-0.043475,3.199439,1311.592773,930.687988,789.120728
335,0,0.159497,-0.043353,3.199964,1311.647583,930.688965,789.147827
336,0,0.159933,-0.045656,3.199152,1311.624512,930.689026,789.110901
337,0,0.160314,-0.044960,3.199118,1311.602539,930.705750,789.136658
338,0,0.160181,-0.044602,3.199347,1311.582764,930.669556,789.101746
339,0,0.162885,-0.045679,3.196463,1311.482910,930.572083,789.011963
340,0,0.159442,-0.042587,3.199855,1311.618408,930.711121,789.186707
341,0,0.163199,-0.045451,3.196510,1311.478516,930.571960,789.015137
342,0,0.160246,-0.044527,3.199251,1311.614136,930.684448,789.087036
343,0,0.159673,-0.042073,3.200017,1311.588989,930.683411,789.168579
344,0,0.160473,-0.044899,3.199169,1311.641479,930.704407,789.123169
345,0,0.160568,-0.043981,3.199438,1311.584106,930.672180,789.109863
346,0,0.160028,-0.045063,3.199201,1311.611816,930.676086,789.101563
347,0,0.160408,-0.044277,3.199227,1311.612427,930.689758,789.118347
348,0,0.160249,-0.044621,3.199187,1311.592163,930.687195,789.111572
349,0,0.159886,-0.045716,3.199279,1311.614136,930.679871,789.101135
350,0,0.160744,-0.043580,3.199181,1311.605957,930.694214,789.135193
351,0,0.159767,-0.045656,3.199381,1311.592651,930.652283,789.072205
352,0,0.160549,-0.044295,3.199243,1311.613647,930.689758,789.111694
353,0,0.160204,-0.045518,3.199211,1311.630737,930.698303,789.107361
354,0,0.160126,-0.043886,3.199150,1311.559570,930.682983,789.129517
355,0,0.162374,-0.045667,3.196721,1311.484253,930.568054,789.018311
356,0,0.159946,-0.045114,3.199552,1311.583618,930.664001,789.083740
357,0,0.160480,-0.044446,3.199273,1311.604980,930.697266,789.132935
358,0,0.159672,-0.042501,3.199965,1311.624390,930.708252,789.186157
359,0,0.159649,-0.045414,3.199100,1311.599854,930.683533,789.115540
360,0,0.159715,-0.042915,3.199902,1311.632813,930.698486,789.176392
361,0,0.159864,-0.044794,3.199086,1311.585083,930.673767,789.103333
362,0,0.159754,-0.043236,3.199888,1311.641602,930.698730,789.154114
363,0,0.162431,-0.045533,3.196836,1311.473022,930.562012,789.005798
364,0,0.160409,-0.044195,3.199276,1311.593384,930.693115,789.118774
365,0,0.159693,-0.045685,3.199317,1311.591431,930.680725,789.113464
366,0,0.160099,-0.045291,3.199191,1311.595459,930.706482,789.135681
367,0,0.161757,-0.043398,3.197846,1311.479858,930.573120,789.068848
368,0,0.160082,-0.044385,3.199142,1311.560425,930.692871,789.146301
369,0,0.162550,-0.045459,3.196945,1311.450806,930.556213,789.003052
370,0,0.159079,-0.043257,3.199940,1311.602295,930.691833,789.170898
371,0,0.161739,-0.043422,3.197733,1311.493408,930.589661,789.085266
372,0,0.159861,-0.045322,3.199267,1311.615479,930.675964,789.099426
373,0,0.159901,-0.044936,3.199347,1311.591797,930.659363,789.087463
374,0,0.160130,-0.044346,3.199278,1311.570679,930.684143,789.123840
375,0,0.161635,-0.043166,3.197919,1311.485352,930.584534,789.070129
376,0,0.159511,-0.043342,3.200099,1311.628662,930.690979,789.152954
377,0,0.162925,-0.045328,3.196606,1311.497681,930.576538,789.025452
378,0,0.161738,-0.043217,3.197848,1311.496582,930.593506,789.080383
379,0,0.162210,-0.045824,3.196703,1311.465942,930.538330,788.982056
380,0,0.162539,-0.045946,3.196608,1311.480713,930.570068,789.009949
381,0,0.160006,-0.045200,3.199272,1311.605469,930.680359,789.100098
382,0,0.160103,-0.045416,3.199284,1311.629150,930.688416,789.097168
